beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),144.46,144.6,147.58,144.3,144.04,143.18,143.41,142.17,145.13,145.51,141.99,,144.21545454545455,1.579096980152669,141.99,147.58
System time (seconds),21.12,20.38,22.34,20.76,20.47,20.67,20.3,20.14,20.64,20.21,19.39,,20.583636363636366,0.7287149336643612,19.39,22.34
Fraction of CPU this job got,1.41,1.33,1.21,1.15,1.27,1.28,1.23,1.26,1.2,1.26,1.2,,1.2545454545454542,0.07090326316378343,1.15,1.41
Elapsed (wall clock) time in seconds,117.18,123.75,139.82,143.31,129.46,127.33,132.56,128.68,137.17000000000002,130.57,133.95,,131.2527272727273,7.367452871799167,117.18,143.31
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),173604.0,173704.0,173256.0,146428.0,174156.0,174212.0,173392.0,174524.0,174012.0,171692.0,174152.0,,171193.81818181818,8248.973049030792,146428.0,174524.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,0.0,8.0,8.0
Minor (reclaiming a frame) page faults,35182.0,36589.0,31092.0,39222.0,37490.0,34582.0,32604.0,38604.0,34481.0,35929.0,30885.0,,35150.90909090909,2803.1298027221446,30885.0,39222.0
Voluntary context switches,3490039.0,3190314.0,3032814.0,3096157.0,2857388.0,3048010.0,3145809.0,3227924.0,3205701.0,2942341.0,3411751.0,,3149840.727272727,187279.20143469798,2857388.0,3490039.0
Involuntary context switches,1108973.0,869966.0,545812.0,776176.0,552143.0,747304.0,830687.0,949275.0,851341.0,563783.0,1143960.0,,812674.5454545454,206869.3120080229,545812.0,1143960.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,19168.0,19184.0,19200.0,19200.0,19200.0,19200.0,19184.0,19200.0,19184.0,19200.0,19184.0,,19191.272727272728,11.000826415237258,19168.0,19200.0
File system outputs,14008.0,13984.0,13992.0,13984.0,14000.0,14000.0,14056.0,14000.0,13992.0,13992.0,13992.0,,14000.0,19.91983935678197,13984.0,14056.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
