../dependencies/beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),88.45,87.46,88.41,89.97,89.58,88.66,93.61,90.45,87.45,87.33,90.29,90.83,88.11,90.39,91.39,91.34,92.28,89.97,91.43,87.46,90.7,94.15,91.48,89.89,86.47,88.52,89.42,90.96,88.65,89.16,91.6,91.13,88.45,87.46,88.41,89.97,89.58,88.66,93.61,90.45,87.45,87.33,90.29,90.83,88.11,90.39,91.39,91.34,92.28,89.97,91.43,87.46,90.7,94.15,91.48,89.89,86.47,88.52,89.42,90.96,88.65,89.16,91.6,91.13,92.87,87.03,92.66,93.3,94.32,96.12,95.64,92.77,,90.25958333333332,2.1703290056942404,86.47,96.12
System time (seconds),9.15,9.32,9.15,9.87,8.98,9.24,9.77,9.97,8.92,9.08,9.52,9.68,9.48,9.24,10.44,9.5,9.81,9.53,9.43,9.32,9.86,9.83,9.85,9.58,9.32,9.52,9.34,10.07,8.5,9.59,9.85,10.17,9.15,9.32,9.15,9.87,8.98,9.24,9.77,9.97,8.92,9.08,9.52,9.68,9.48,9.24,10.44,9.5,9.81,9.53,9.43,9.32,9.86,9.83,9.85,9.58,9.32,9.52,9.34,10.07,8.5,9.59,9.85,10.17,10.84,10.37,10.26,10.64,11.22,11.25,11.57,10.32,,9.669861111111116,0.5734267959359238,8.5,11.57
Fraction of CPU this job got,1.65,1.64,1.65,1.64,1.66,1.67,1.66,1.65,1.65,1.64,1.65,1.64,1.65,1.65,1.64,1.64,1.63,1.64,1.66,1.64,1.64,1.66,1.64,1.64,1.64,1.64,1.64,1.64,1.66,1.64,1.64,1.64,1.65,1.64,1.65,1.64,1.66,1.67,1.66,1.65,1.65,1.64,1.65,1.64,1.65,1.65,1.64,1.64,1.63,1.64,1.66,1.64,1.64,1.66,1.64,1.64,1.64,1.64,1.64,1.64,1.66,1.64,1.64,1.64,1.62,1.62,1.63,1.63,1.59,1.61,1.6,1.62,,1.6425000000000003,0.013712336380576567,1.59,1.67
Elapsed (wall clock) time in seconds,58.92,59.0,58.93,60.76,59.23,58.6,62.11,60.56,58.21,58.55,60.18,61.02,58.82,60.25,62.06,61.15,62.4,60.47,60.76,58.92,61.13,62.6,61.58,60.44,58.29,59.77,60.11,61.54,58.23,60.1,61.59,61.76,58.92,59.0,58.93,60.76,59.23,58.6,62.11,60.56,58.21,58.55,60.18,61.02,58.82,60.25,62.06,61.15,62.4,60.47,60.76,58.92,61.13,62.6,61.58,60.44,58.29,59.77,60.11,61.54,58.23,60.1,61.59,61.76,63.67,59.79,62.85,63.69,66.03,66.55,66.79,63.41,,60.67861111111112,1.88943788164819,58.21,66.79
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),493256.0,499276.0,499120.0,343652.0,497436.0,677720.0,498184.0,494428.0,499888.0,497504.0,491928.0,496824.0,498788.0,501336.0,342032.0,753344.0,502612.0,495564.0,501504.0,340608.0,503540.0,497220.0,503476.0,503940.0,501260.0,344488.0,342168.0,495628.0,501464.0,625028.0,495228.0,496328.0,493256.0,499276.0,499120.0,343652.0,497436.0,677720.0,498184.0,494428.0,499888.0,497504.0,491928.0,496824.0,498788.0,501336.0,342032.0,753344.0,502612.0,495564.0,501504.0,340608.0,503540.0,497220.0,503476.0,503940.0,501260.0,344488.0,342168.0,495628.0,501464.0,625028.0,495228.0,496328.0,333592.0,339708.0,335636.0,340712.0,335440.0,341152.0,339696.0,341924.0,,474686.1666666667,94485.16248537293,333592.0,753344.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
